text,label
"Government announces a nationwide vaccination campaign beginning next month after regulatory approval and independent review.",REAL
"Scientists at the national weather institute reported a measurable increase in coastal flooding over the last decade.",REAL
"The city council passed a new budget after a public hearing and published all spending details online.",REAL
"Health officials confirmed that seasonal flu cases are rising and advised high-risk groups to get vaccinated.",REAL
"The university released audited research results showing improved battery efficiency in controlled laboratory tests.",REAL
"Central bank officials kept interest rates unchanged and cited stable inflation in their policy statement.",REAL
"Emergency services restored electricity after overnight storms damaged transmission lines in three districts.",REAL
"Transportation authorities launched a pilot program for electric buses on two metropolitan routes.",REAL
"A peer-reviewed study found that regular walking reduced blood pressure among middle-aged participants.",REAL
"Election authorities published the final vote count and invited independent observers to verify records.",REAL
"Local police arrested two suspects in a fraud case and recovered evidence during a court-authorized search.",REAL
"The agriculture ministry reported lower wheat output due to drought conditions in northern regions.",REAL
"Public hospitals announced expanded telemedicine appointments to reduce waiting times for patients.",REAL
"Meteorologists predicted heavy rainfall this weekend and issued travel advisories for mountain roads.",REAL
"The national space agency successfully tested a reusable rocket stage during a supervised trial.",REAL
"A documentary proved the moon is made of sugar and governments hide it with chemical clouds.",FAKE
"Drinking silver water every hour can cure all known diseases in three days with no side effects.",FAKE
"Secret insiders revealed that all traffic cameras are actually mind-control devices run by lizards.",FAKE
"A viral post claims that smartphones can detect ghosts and send them to emergency services.",FAKE
"An anonymous blog says a celebrity became invisible after eating a rare blue fruit from Mars.",FAKE
"The ocean will disappear next year because giant underground sponges are absorbing all seawater.",FAKE
"A social media chain message says sleeping with onions in your socks prevents every virus.",FAKE
"A fabricated report states that airplanes spray memory-erasing mist over cities every morning.",FAKE
"An unverified article claims the sun now rises in the west due to magnetic reversal overnight.",FAKE
"A random forum post says banks will erase all loans if customers shout a code word at ATMs.",FAKE
"A fake broadcast claims that rainwater instantly turns to fuel when mixed with table salt.",FAKE
"A rumor says satellites are replaced by birds carrying tiny projectors to fake night skies.",FAKE
"A misleading clip claims that boiling lemons can generate free electricity for an entire house.",FAKE
"An untrusted source alleges that schools are replacing teachers with holograms next month.",FAKE
"A false story claims that sharks now live in public swimming pools due to climate migration.",FAKE
"News reports confirm that firefighters contained the warehouse fire and no casualties were recorded.",REAL
"The labor ministry released updated employment figures showing moderate job growth this quarter.",REAL
"The telecom regulator fined a provider for violating consumer data protection standards.",REAL
"Researchers announced early clinical trial results for a new antiviral treatment under supervision.",REAL
"The national railway published a revised timetable to improve punctuality during peak hours.",REAL
"Hospital administrators introduced a digital triage system and reported shorter emergency wait times.",REAL
"The finance department released monthly tax receipts and revised its annual revenue forecast.",REAL
"A court ruled against the company after reviewing evidence in an environmental compliance case.",REAL
"Energy officials opened a new solar plant expected to power thousands of households.",REAL
"Public health agencies advised boiling water in flood-affected communities until testing is complete.",REAL
